# energy dos
-8.889400000000000190e+00 2.868799999999999795e+00
-8.876999999999998892e+00 3.071400000000000130e+00
-8.864499999999999602e+00 3.421800000000000175e+00
-8.852100000000000080e+00 3.717900000000000205e+00
-8.839600000000000790e+00 3.876599999999999824e+00
-8.827200000000001268e+00 3.897899999999999920e+00
-8.814799999999999969e+00 3.781699999999999839e+00
-8.802299999999998903e+00 4.044500000000000206e+00
-8.789899999999999380e+00 4.581500000000000128e+00
-8.777400000000000091e+00 4.529799999999999827e+00
-8.765000000000000568e+00 4.422600000000000087e+00
-8.752499999999999503e+00 4.375600000000000378e+00
-8.740099999999999980e+00 4.388799999999999812e+00
-8.727699999999998681e+00 4.459999999999999964e+00
-8.715199999999999392e+00 4.515399999999999636e+00
-8.702799999999999869e+00 4.653100000000000236e+00
-8.690300000000000580e+00 4.844699999999999562e+00
-8.677900000000001057e+00 5.033400000000000318e+00
-8.665499999999999758e+00 5.761899999999999800e+00
-8.652999999999998693e+00 6.959399999999999586e+00
-8.640599999999999170e+00 4.595799999999999663e+00
-8.628099999999999881e+00 2.930499999999999883e+00
-8.615700000000000358e+00 9.665200000000000458e+00
-8.603200000000001069e+00 0.000000000000000000e+00
-8.590799999999999770e+00 0.000000000000000000e+00
-8.578400000000000247e+00 0.000000000000000000e+00
-8.565899999999999181e+00 0.000000000000000000e+00
-8.553499999999999659e+00 0.000000000000000000e+00
-8.541000000000000369e+00 0.000000000000000000e+00
-8.528600000000000847e+00 0.000000000000000000e+00
-8.516199999999999548e+00 0.000000000000000000e+00
-8.503700000000000259e+00 0.000000000000000000e+00
-8.491299999999998960e+00 0.000000000000000000e+00
-8.478799999999999670e+00 0.000000000000000000e+00
-8.466400000000000148e+00 0.000000000000000000e+00
-8.453900000000000858e+00 0.000000000000000000e+00
-8.441499999999999559e+00 0.000000000000000000e+00
-8.429100000000000037e+00 0.000000000000000000e+00
-8.416599999999998971e+00 0.000000000000000000e+00
-8.404199999999999449e+00 0.000000000000000000e+00
-8.391700000000000159e+00 0.000000000000000000e+00
-8.379300000000000637e+00 0.000000000000000000e+00
-8.366900000000001114e+00 0.000000000000000000e+00
-8.354400000000000048e+00 0.000000000000000000e+00
-8.341999999999998749e+00 0.000000000000000000e+00
-8.329499999999999460e+00 0.000000000000000000e+00
-8.317099999999999937e+00 0.000000000000000000e+00
-8.304600000000000648e+00 0.000000000000000000e+00
-8.292200000000001125e+00 0.000000000000000000e+00
-8.279799999999999827e+00 0.000000000000000000e+00
-8.267299999999998761e+00 0.000000000000000000e+00
-8.254899999999999238e+00 0.000000000000000000e+00
-8.242399999999999949e+00 0.000000000000000000e+00
-8.230000000000000426e+00 0.000000000000000000e+00
-8.217600000000000904e+00 0.000000000000000000e+00
-8.205099999999999838e+00 0.000000000000000000e+00
-8.192700000000000315e+00 0.000000000000000000e+00
-8.180199999999999250e+00 0.000000000000000000e+00
-8.167799999999999727e+00 0.000000000000000000e+00
-8.155300000000000438e+00 0.000000000000000000e+00
-8.142900000000000915e+00 0.000000000000000000e+00
-8.130499999999999616e+00 0.000000000000000000e+00
-8.118000000000000327e+00 0.000000000000000000e+00
-8.105599999999999028e+00 0.000000000000000000e+00
-8.093099999999999739e+00 0.000000000000000000e+00
-8.080700000000000216e+00 0.000000000000000000e+00
-8.068200000000000927e+00 0.000000000000000000e+00
-8.055799999999999628e+00 0.000000000000000000e+00
-8.043400000000000105e+00 0.000000000000000000e+00
-8.030899999999999039e+00 0.000000000000000000e+00
-8.018499999999999517e+00 0.000000000000000000e+00
