# energy s p d
-2.744459999999999766e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.743099999999999739e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.741739999999999711e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.740380000000000038e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.739020000000000010e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.737659999999999982e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.736299999999999955e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.734939999999999927e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.733589999999999876e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.732229999999999848e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.730869999999999820e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.729509999999999792e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.728149999999999764e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.726789999999999736e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.725429999999999708e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.724070000000000036e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.722710000000000008e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.721349999999999980e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.719989999999999952e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.718629999999999924e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.717269999999999897e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.715919999999999845e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.714559999999999818e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.713199999999999790e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.711839999999999762e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.710479999999999734e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.709119999999999706e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.707760000000000034e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.706400000000000006e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.705039999999999978e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.703679999999999950e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.702319999999999922e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.700959999999999894e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.699609999999999843e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.698249999999999815e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.696889999999999787e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.695529999999999760e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.694169999999999732e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
