#k-distance eigenvalue[eV]
3.23432713 -28.92590000
3.25053982 -28.92570000
3.26675252 -28.92560000
3.28296520 -28.92540000
3.29917790 -28.92520000
3.31539059 -28.92500000
3.33160328 -28.92480000
3.34781597 -28.92460000
3.36402867 -28.92440000
3.38024135 -28.92420000
3.39645405 -28.92400000
3.41266674 -28.92380000
3.42887943 -28.92360000
3.44509212 -28.92340000
3.46130482 -28.92320000
3.47751750 -28.92300000
3.49373020 -28.92280000
3.50994289 -28.92270000
3.52615558 -28.92250000
3.54236827 -28.92230000
3.55858096 -28.92220000
3.57479365 -28.92210000
3.59100634 -28.92200000
3.60721904 -28.92190000
3.62343172 -28.92180000
3.63964442 -28.92170000
3.65585711 -28.92170000
3.67206980 -28.92160000
3.68828249 -28.92470000

0.00000000 -28.91530000
0.01647355 -28.92000000
0.03294710 -28.92000000
0.04942064 -28.91990000
0.06589419 -28.91990000
0.08236774 -28.91980000
0.09884129 -28.91970000
0.11531484 -28.91960000
0.13178839 -28.91950000
0.14826193 -28.91930000
0.16473548 -28.91920000
0.18120903 -28.91900000
0.19768258 -28.91890000
0.21415613 -28.91870000
0.23062967 -28.91850000
0.24710322 -28.91830000
0.26357677 -28.91810000
0.28005032 -28.91790000
0.29652387 -28.91780000
0.31299741 -28.91760000
0.32947096 -28.91740000
0.34594451 -28.91720000
0.36241806 -28.91710000
0.37889161 -28.91690000
0.39536516 -28.91680000
0.41183870 -28.91660000
0.42831225 -28.91650000
0.44478580 -28.91640000
0.46125935 -28.91630000
0.47773290 -28.91620000
0.49420644 -28.91620000
0.51067999 -28.91620000
0.52715354 -28.91620000
0.54343995 -28.91620000
0.55972636 -28.91610000
0.57601278 -28.91610000
0.59229919 -28.91600000
0.60858559 -28.91590000
0.62487200 -28.91590000
0.64115842 -28.91580000
0.65744483 -28.91560000
0.67373124 -28.91550000
0.69001765 -28.91540000
0.70630407 -28.91520000
0.72259047 -28.91500000
0.73887688 -28.91490000
0.75516329 -28.91470000
0.77144971 -28.91450000
0.78773612 -28.91430000
0.80402253 -28.91410000
0.82030893 -28.91390000
0.83659534 -28.91370000
0.85288176 -28.91360000
0.86916817 -28.91340000
0.88545458 -28.91320000
